Company Name,Job Title,Location,Location-2,Base Salary,Job Description
ScanScape,In Store Merchandise Scanner,North Charleston, ,N/A,"
Are you looking for a part-time job that offers . . .
Affiliation with 40+ year company leading the marketing intelligence industry.
"
Southwest Airlines,newRamp Agent,Charleston, ,N/A,"
PHYSICAL ABILITIES Must be able to lift and move items of 70 pounds and/or more on a regular basis and repetitively lift weights of 40 to 50 pounds on raised…
"
TELUS International,newCall Center Customer Service Representative,North Charleston, ,N/A,"
Flexibility to work a 40 hr work week during any day/any shift as needed within the program’s hours of operation: 24 hours | 7 days a week.
"
MAHLE,Production Associate,Charleston, ,N/A,"
Must be able to lift and move parts between work stations (up to 40 pounds).
The employee must regularly lift and/or move up to 40 pounds and occasionally lift…
"
US Club Soccer,Seasonal Membership Administrators (Part Time),Remote in Charleston, ,N/A,"
Seasonal Member Administrators will work an average of 40 hours each week, which may include non-traditional hours such as evenings and/or weekends.
"
WestRock,Production Laborer,North Charleston, ,N/A,"
After Deductible, plan pays 60% and you pay 40% out of network.
Skills and procedural knowledge are gained through filling in for absences in the mill’s various…
"
PeopleOps Jobs,newHead of Talent,Remote, ,N/A,"
> Partnered with Coinbase, TurboTax, OpenSea, and other industry leaders.
Lead CoinTracker’s Talent function by building and scaling a world-class, diverse team…
"
Roper St. Francis Healthcare,Occup Therapist,Charleston, ,N/A,"
Schedule: Salaried Part Time (40 hrs every two weeks - benefited), Day shift, 8:00am-12:00pm.
Under direct supervision of a licensed OT, provides optimal…
"
Atomic,newFull-Time Health Coach,+2 locationsRemote, ,N/A,"
Availability to work 40 hours per week.
According to a recent CDC study, nearly 50% of Americans want to lose weight, and on average, Americans have gained 30…
"
Sodexo,newHR Assistant,Summerville, ,N/A,"
Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds.
Maturity of judgment and behavior.
"
Good Feet,"District Sales Manager - Charleston, SC",Charleston, ,N/A,"
40% employee discount on all products.
Creating an environment focused on exceptional client experiences.
Mentoring and coaching high performing teams; being a…
"
NSF International,Food Safety Auditor,Remote, ,N/A,"
Recognized training in audit techniques based on QMS, FSMS - 40 hrs.
Conduct good agricultural practices/food safety systems inspections/audits.
"
Tanger Outlets,Customer Service Representative - Charleston SC,North Charleston, ,N/A,"
As the face of Tanger, you are a Tanger Ambassador, serving on the front line to build relationships, help tackle customer concerns, and deliver superior…
"
"Hardee's Restaurants, LLC",Fast Food Restaurant Crew Member (H01729),Holly Hill, ,N/A,"
The Crew Person is responsible and accountable for performing specific tasks and duties, as assigned, within the restaurant.
Stand for long periods of time.
"
Starbucks,"barista - Store# 56881, HWY 41 AND WOOD PARK DR",Mount Pleasant, ,N/A,"
Understand how to create a great customer service experience.
Have a focus on quality and take pride in your work.
Can maintain a clean and organized workspace.
"
Berlitz,Remote Malay Instructor - US,Remote in United States+41 locations, ,Estimated $40.1K - $50.7K a year,"
As a Part-time Malay Language Instructor for Berlitz GOLD, you must have exceptional communication skills in both Malay and English.
"
Apria Healthcare,newBranch Support Specialist,North Charleston, ,N/A,"
This role is responsible for supporting daily operations of the local branch office and delivering customer happiness through effective communication, problem…
"
Yuma Regional Medical Center,newRevenue Integrity Analyst,United States, ,N/A,"
The Revenue Integrity Analyst will work under the direction of the Manager of Revenue Integrity to meet financial objectives by identifying and evaluating…
"
PSI Services LLC,Rater - Cosmetology,Remote, ,Estimated $35.1K - $44.5K a year,"
Using industry expertise for reasonable judgment and skill in the subject matter(s).
Conducts candidate evaluations of state practical examinations in…
"
Cellular Sales,Verizon Sales Consultant,Goose Creek, ,N/A,"
Professional training and mentoring program.
National and regional marketing campaigns.
Full Benefits Package Provided including Health, Dental, Vision, 401K…
"
Ferguson,newCustomer Service Representative,+46 locationsRemote, ,N/A,"
Ferguson is currently seeking the right individual to fill an immediate need for a Full-time Customer Service Representative.
"
Access Information Management,Client Care Support Representative- Mountain Time Zone/Remot...,+1 locationRemote, ,N/A,"
The work schedule will be from Monday to Friday, from 8:30 am to 5:00 pm (Mountain Time Zone).
As a Client Care Support Representative, you are the public face…
"
TTEC,Business-to-Business Sales Representative – Remote USA,Remote in Louisiana+38 locations, ,N/A,"
In this role, you’ll work effectively to service, enhance and build relationships with current and future clients.
One year or more post-secondary education.
"
Americans Wholesale Solar Systems,Sales Manager,Charleston, ,N/A,"
Job Types: Full-time, Part-time, Contract.
Charleston, SC: Reliably commute or planning to relocate before starting work (Preferred).
"
Convergint Technologies LLC,Service Coordinator,North Charleston, ,Estimated $27K - $34.2K a year,"
Exceptional telephone and personal customer service skills and ability to work under pressure.
Excellent Microsoft Outlook, Excel, and Word skills.
"
"Envirosmart, Inc. DBA ES Integrated",Confined Space Rescue Technician,Charleston, ,N/A,"
EnviroSmart is seeking experienced Safety & Rescue Technicians and Supervisors to provide safety & rescue services at client sites.
"
ICON GPHS,newClinical Trials Associate (Remote),Remote in United States, ,N/A,"
Travel (approximately 10%) domestic and/or international.
To possess a knowledge of ICH GCP, appropriate regulations, relevant ICON GPHS’s SOPs, ICON GPHS…
"
Dog Tired Pet Services,Overnight Pet Sitter,Charleston, ,N/A,"
\*The pay range for the overnight pet sitting jobs is from $42 a night to $52 depending upon the number of animals cared for.
Must have a flexible schedule.*.
"
American Cruise Lines,Server - 2022 Season,United States+28 locations, ,N/A,"
Work onboard for 6 weeks (42 days) and the bonus is earned 6 weeks from your first day onboard.
Each ship is unique and will allow you to experience in the ins…
"
Chewy,Warehouse Worker,Arizona+126 locations, ,N/A,"
Overtime available with additional incentives offered on a week-to-week basis!
Night shifts start from $17.50 - $18.50!!
Wellness programs, Teledoc, and EAP.
"
Swapcard,Account Manager (Remote),Remote, ,N/A,"
Own a defined set of client accounts in your given territory.
Develop and nurture relationships with senior stakeholders to renew and expand financial…
"
at Higher Logic,QA Analyst,Remote, ,Estimated $88.8K - $112K a year,"
The QA Analyst provides testing support and guidance for our engineering projects by creating and executing a test plan, reporting defects and developing…
"
"MUSC Health Rehabilitation Hospital, an affiliate...",Rehab Liaison Full Time,North Charleston, ,N/A,"
Enjoy competitive compensation and benefits that start on day one, including: *.
Benefits that begin when you do.
Flexible spending and health savings accounts.
"
MUSC Health Medical University of South Carolina...,"Cook, Full-Time",Charleston, ,Estimated $25.9K - $32.9K a year,"
The Cook prepares, seasons and cooks regular and therapeutic diets for patients, employees, visitors and special functions.
Benefits that begin when you do.
"
Montreux Bar & Grill,newServer,Summerville, ,N/A,"
Setting the table *Presenting the menu and helping customers select food *Delivering food to tables *Delivering a great customer experience.
"
Intermark Management Corporation,Section 42 Regional Property Manager,Charleston, ,N/A,"
Candidates with Section 42/LIHTC experience will be given priority.
At least 3 years multi-site property management experience is required.
"
American Cruise Lines,Deckhand,Fernandina Beach, ,N/A,"
Work onboard for 6 weeks (42 days) and the bonus is earned 6 weeks from your first day onboard.
Each ship is unique and will allow you to experience in the ins…
"
Indiana Wesleyan University,Spanish Adjunct Professor,Remote, ,N/A,"
Summary of Position: The School of Educational Leadership and Division of Liberal Arts at Indiana Wesleyan University is seeking qualified applicants for part…
"
Cummins Inc.,CRP-3rd Shift Material Handler-Charleston Recon Plant,Ladson, ,N/A,"
CRP-3rd Shift Material Handler-Charleston Recon Plant.
Under some supervision, follow established procedures and guidelines to receive, handle, store, perform…
"
"Sony Pictures Entertainment, Inc.","Researcher, Jeopardy!",Culver City, ,N/A,"
The researchers are responsible for ensuring the accuracy of all on-air material.
They use Internet sources, reference books, telephone interviews, and all…
"
GE Appliances,2022 Everybody Counts Manufacturing Operator at Appliance Pa...,Louisville, ,N/A,"
Handling and lifting of parts and/or equipment (minimum of 42 lbs. lifting/carrying and 40 lbf. pushing/pulling).
Tuition reimbursement and career development.
"
"Yardi Systems, Inc.",newcompliance auditor,Remote, ,Estimated $48.3K - $61.1K a year,"
Section 8, Section 42, HOME, Tax Credit program experience.
Use your strong prioritization skills to complete certification processing and ensure files are…
"
Polaris7,Quantitative Trader,Chicago, ,N/A,"
Employer requires a Master’s degree in Mathematics, Statistics, Financial Mathematics or related quantitative field.
Quantitative Trader (Ref job @0001).
"
CITADEL ENTERPRISE EUROPE LIMITED,Global Trading | Quantitative Researcher,New York, ,N/A,"
Mix quantitative disciplines with creative problem solving.
Work in a team environment that closely integrates trading, quantitative research and technology.
"
EmeraldAI Technologies LLC,Senior Quantitative Trader - High Frequency Trading,Chicago, ,N/A,"
5+ years of experience in quantitative research or trading strategy development is a MUST.
Strong quantitative and analytical thinking skills with the ability…
"
New Millenium Consulting,Quantitative Analyst,New York, ,N/A,"
Examination of existing trader spreadsheets to understand pricing logic.
Generic programming so that toolkit can quickly adapt to changing trader and market…
"
SESCO Enterprises,Fundamental Trader,Greensburg, ,N/A,"
To incorporate quantitative analysis techniques and machine learning techniques to systematize portions of the data analysis.
"
Morgan Stanley,Quantitative Developer,Alpharetta, ,N/A,"
Strong analytical and quantitative skills.
Solve interesting technical and quantitative problems such as building high-performance trading applications,…
"
"JPMorgan Chase Bank, N.A.","newGlobal Credit Trading, Algorithmic Credit Trader - Associate",New York, ,N/A,"
You are interested in market microstructures and quantitative trading within global markets;
You will work as part of our trading team on the credit floor in…
"
Fidelity Investments,newCash Equity Trader,Boston, ,N/A,"
We are seeking an experienced trader to join the US Cash Equity Trading team within Fidelity Capital Markets.
Representing Fidelity with utmost integrity toward…
"
3Red Partners,Assistant Trader,Miami, ,N/A,"
The Assistant Trader will have the opportunity to work in our Miami office alongside senior traders and developers getting exposure to trading, quantitative…
"
"JPMorgan Chase Bank, N.A.",QR Markets - Quantitative Research - Associate,New York, ,N/A,"
Explain model behaviour and predictions to traders and controllers, identify major sources of risk in portfolios, carry out scenario analysis, provide guidance …
"
"JPMorgan Chase Bank, N.A.",newQuantitative Research - Vice President,New York, ,N/A,"
Exceptional analytical, quantitative and problem-solving skills.
Prior knowledge of quantitative modeling and risk neutral pricing is required.
"
"JPMorgan Chase Bank, N.A.",Quantitative Research Equities - Quantitative Modeler,New York, ,N/A,"
Analytical, quantitative and problem-solving skills;
Deliver quantitative analytics to the desks that drive decision making;
"
Paradigm Connect,Quantitative Strategist,Remote, ,Estimated $57.1K - $72.3K a year,"
Paradigm is a zero-fee, institutional liquidity network for derivatives traders across CeFi and DeFi.
Strong programming skills with quantitative languages such…
"
Chicago Trading Company (CTC),Quantitative Trader,Chicago, ,N/A,"
Our culture is highly collaborative across traders, quants, technologists and development teams who work together to solve the toughest problems our markets…
"
Wolverine Trading,Trader (Entry-Level),Chicago, ,N/A,"
We are looking for an entry-level trader to join our trading team!
The ideal candidate will demonstrate aptitude and willingness to develop current skills while…
"
